farmos_name,quantity_grams,stock_level,unit,expiry_date,quality,inventory_date,dominant_function,season_to_plant,qty_seeds_per_m2,data_source
Tomato (Rouge de Marmande),,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Tomato (Moneymaker),,,,,,,edible,spring-summer,,
Tomato (Mortgage Lifter),,,,,,,edible,spring-summer,,
Tomato (Oxheart),,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Turmeric,,,,,,,edible,,,
Turnip (Purple top),,0.5,sachet,Dec-26,G,,edible,automn-winter,,
Vetch,95,1,bulk,Dec-26,G,,green manure,automn-winter,,
Watercress,,1,sachet,Dec-25,G,,edible,automn-winter,,
Watermelon (Sugar baby),,1,sachet,Dec-28,G,,edible,spring-summer,,
Wattle (Acacia),20,1,bulk,COLLECTED 12/25,,,companion,,,
Wattle - Cootamundra (Baileyana),17700,1,bulk,Jun-28,G,,companion,,,
Winter Market Garden Mix,,,,,,,,,,
Yarrow (White),,,,,,,companion,,,
Zucchini,50,1,bulk,COLLECTED 2/26,B,,edible,spring-summer,,
Zucchini (Blackjack),,,,,,,edible,spring-summer,,
Zucchini (Lebanese),,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Zucchini (Green Skin),,0.5,sachet,Dec-28,G,,edible,spring-summer,,
